"sys_created_on","number","short_description","description","u_error_symptoms","tags"
"2025-02-01 14:07:46","INC41346782","CA950- IRIS password reset ","IRIS password reset ","","Password"
"2025-02-01 14:14:12","INC41346825","IRIS (Integrated Rx Information System) / Unable to login","I can't login to IRIS","Unable to login","User Login"
"2025-02-01 15:15:24","INC41347003","Kafka Certificate Renewal"," The kafka client certificate orx-pharmac320e41d9e5492c54 (rg-pharmacy-central-kafka-prod-60fa261/hcc-dataplatform-certificate-v1/orx-pharmac320e41d9e5492c54) has been automatically renewed as it is less than 60 days from the expiration. Your new certificate will expire on Sun, 01 Feb 2026 15:14:53 UTC. The new certificate download information has been sent to: bhakat_jayesh@optum.com, lavanya.nalaballa@optum.com, prashant.mangidkar@optum.com, satya.chundru@optum.com, somasekhar_munupally@optum.com, sowmya_surisetti@optum.com. A renewal email and INC will be sent around Tue, 02 Dec 2025 19:14:53 UTC. Please update all uses of this certificate immediately with the newly sent certificate to avoid any expiration resulting in downtime for your application(s). 	","","?"
"2025-02-01 15:16:30","INC41347007","IRIS (Integrated Rx Information System) - Unable to find issue for IRIS (Integrated Rx Information System)","i am having issues with IRIS, not letting me place order, just stuck on enter","this order is currently accessed by another user  record is currently being worked on by another user","Order Issue, Errors"
"2025-02-01 19:16:59","INC41347625","IRIS (Integrated Rx Information System)","iris froze on edge and google and I have to restart","freeze","Launch Issues, Latency"
"2025-02-01 21:31:38","INC41347916","IRIS (Integrated Rx Information System) / Not responding, close all information","When I pull up an account in IRIS, and click on a tab, everything goes away","Not responding, close all information","Latency"
"2025-02-01 22:32:17","INC41348021","TX950 - Member's are getting refills without ordering in IRIS","member's are getting orders that they not order. Prescriptions are being refilled automatically even if the automatic refill option is not selected.","","Order Issue"
"2025-02-02 01:18:52","INC41348290","IRIS (Integrated Rx Information System) - Unable to Login","my IRIS was asking to change the password","invalid credentials","Password, User Login"
"2025-02-02 06:37:30","INC41348722","Kindly compile the invalids in Prod","Kindly compile the invalids in Prod  Below is the Invalid AD Objects count more than 30      Owner      |Count    |Total Count     --------------------------------------------     APPS          |             34 |            292                                 ARCHIVER12D   |             86 |            292                                 XXIRIS        |             85 |            292                                 XXRXSOL1      |             87 |            292                              ","","nonsense"
"2025-02-02 18:17:41","INC41350121","IRIS (Integrated Rx Information System) - Unable to Login","I am trying to change the password   IRIS and I am not able to change it ","I am trying to change the password   IRIS and I am not able to change it ","Password, User Login"
"2025-02-02 20:38:55","INC41350353","IRIS (Integrated Rx Information System) - Unable to Login","unable to login to the IRIS"," Unable to Login","User Login"
"2025-02-02 20:58:26","INC41350376","Genesys Issue","Per the customer when she open the Genesys there is an error error retrieving setting from server.","","?"
"2025-02-03 02:39:18","INC41350937","PVS service calls are blocked for specific set of words in the service payload.","Calls to PVS backend services from PVS UI are blocked when certain words are included in the service payload.","","?"
"2025-02-03 05:57:51","INC41351482","Data request for INC41261578","Request is to share data with a recipient team for all orders in the running month which have non cancelled lines but has multiple billing lines with the same claim id having non zero amount value.","","?"
"2025-02-03 06:51:30","INC41351762","Informational - Submit a Documentation Only Ticket","Unable to view Transfer Request Form through Image viewer instead getting ""REQUEST PROCESSING ERROR""  Details: Environment TS04 Switching to Pharmacist , Universal search member use Account Number and open eBc center form. Click on Rx History/Mdcomm tab and click on create DOE in eBc center Enter Prescription details , save, approve, release. In the EBC form create New TMS order and save. Book the Order with New Rx count '0'. Now click on Txfr Request button that was enabled. Once Transfer Request Form opened enter Pharmacy details and Drug, Rx number that was captured from prescription form. After submittig, you can see a sccessful note popup. You will be back to SOF. Refresh the page and click on MDComm tab. In the first row, we can see the Order number we created, Drug name under Med Request column and Type as TRANSFER-IN-RX-FAX-TMS Once you verify these details, from the menu bar click on Action > open Image viewer  The Expected Form is ""Transfer Request Form"" but we are getting  as ""REQUEST PROCESSING ERROR""which is not as expected. Expected : Transfer Request Form along with Document type 3410  Product entered by customer: ","","Errors, User Request"
"2025-02-03 08:20:26","INC41352142","TS09 surescript connectivty not working","Hi Rahul     Team is sending request in surescript in ts09       however they are not able to find the transactions      can u pls check    d69e299cb925403bb719acd19c4079bf15a da8ca721b68c4935b719b74c6a93f5e0498     msg id 's  ","","?"
"2025-02-03 10:32:45","INC41352824","Gryphon First Run for 5000 records transfer","Update Alert 301 query to run Gryphon First run for 5000 records.  Run the Request Set to transfer files to Gryphon Request Set:   Parameters:  Gryphon Reassigned Outbound Gryphon Litigators Outbound  ","","?"
"2025-02-03 11:34:14","INC41353220","working session with Imaging and testing team to fix the request renewal failing","working session with Imaging and testing team to fix the request renewal failing","","Image Viewer"
"2025-02-03 11:37:20","INC41353257","IRIS (Integrated Rx Information System) - Unable to Login","I am unable to login IRIS","Unable to Login","User Login"
"2025-02-03 11:41:20","INC41353280","IRIS (Integrated Rx Information System) - Unable to Login","I tried to reset my password unable to login...","unable to login to the oracle IRIS","Password, User Login"
"2025-02-03 12:12:06","INC41353524","ORx Pharmacy Control System (Orlando) - Shipped orders not closed in wms iris ","shipped orders not closed in wms iris assign to ORx_pcs_OV_SPT","Shipped orders not closed in wms iris ","Order Issue"
"2025-02-03 12:51:23","INC41353986","IRIS (Integrated Rx Information System) - Unable to receive email to receive password.","Iris password need to be updated.","IRIS (Integrated Rx Information System) - Unable to receive email to receive password.","Password"
"2025-02-03 13:09:34","INC41354262","IRIS (Integrated Rx Information System) - When going into rx form, the medical conditions are not showing up unless you go into sp info. Box blank on med conditions in rx form","When going into rx form, the medical conditions are not showing up unless you go into sp info. Box blank on med conditions in rx form","When going into rx form, the medical conditions are not showing up unless you go into sp info. Box blank on med conditions in rx form","?"
"2025-02-03 13:13:04","INC41354348","IRIS - Unable To Login","I'm trying to get in to IRIS but it's telling me my password is incorrect; I tried every password I could think of.","rxeprrapp.uhc.com ; ""Login failed. Please verify your login information or contact the system administrator.""","User Login"
"2025-02-03 13:18:34","INC41354468","KY950 - IRIS Application login issue ","IRIS Application login issue ","","User Login"
"2025-02-03 13:26:57","INC41354714"," IRIS (Integrated Rx Information System) - . the iris is asking for a new password","I am trying to log in to everything and .. the iris is asking for a new password",". the iris is asking for a new password","Password, User Login, nonsense"
"2025-02-03 13:39:00","INC41355024","IRIS (Integrated Rx Information System) - Unable to Login","So ive been reassignment for 4 months and so i cant get into iris or genesys. i dont know if this gets deleted . Im using thoses systems. well I havent logged in since october so it says contact your administrator. I havent had to to use those to accept occations.","Login failed. Please verify your login information or contact the system administrator.","User Login"
"2025-02-03 13:51:40","INC41355414","IRIS - cannot sign in for a week","I HAVE BEEN TRYING TO SIGN INTO IRIS FOR A WEEK NOW MY SUP SAYS I SHOULD STILL HAVE ACCESS BUT SYSTEM PROMPT ME TO CHANGE MY PASSWORD IT WORKED ONCE BUT I CANT SIGN IN","","User Login"
"2025-02-03 14:05:46","INC41355845","IRIS - cannot sign in for a week","I HAVE BEEN TRYING TO SIGN INTO IRIS FOR A WEEK NOW MY SUP SAYS I SHOULD STILL HAVE ACCESS BUT SYSTEM PROMPT ME TO CHANGE MY PASSWORD IT WORKED ONCE BUT I CANT SIGN IN","","User Login"
"2025-02-03 14:07:50","INC41355914","IRIS (Integrated Rx Information System) - Unable to Login","I am unable to login to IRIS my password didn't push through.","Password failed please contact your admin","Password, User Login"
"2025-02-03 14:13:23","INC41356106","Selected Issue: IRIS","IRIS will not allow me to reset my password","","Password"
